"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"3761","5012","3761","20581","102394","102602"
,"3777","5036","3777","20776","103270","103623"
,"3793","5052","3793","20966","103418","103628"
,"3825","5100","3825","21184","104287","104649"
,"3841","5116","3841","21398","104436","104654"
,"3873","5164","3873","21593","105314","105675"
,"3905","5196","3905","21801","105461","105680"
,"3969","5292","3969","22014","106333","106701"
,"3977","5300","3977","22225","106482","106706"
,"3993","5324","3993","22427","107351","107727"
,"4009","5340","4009","22643","107505","107732"
,"4041","5388","4041","22861","108375","108753"
,"4057","5404","4057","23084","108539","108758"
,"4089","5452","4089","23291","109395","109779"
,"4121","5484","4121","23510","109552","109784"
,"4185","5580","4185","23724","110407","110805"
,"4201","5596","4201","23948","110565","110810"
,"4233","5644","4233","24161","111427","111831"
,"4265","5676","4265","24364","111601","111836"
,"4329","5772","4329","24601","112447","112857"
,"4361","5804","4361","24828","112624","112862"
,"4425","5900","4425","25048","113475","113883"
,"4489","5964","4489","25270","113640","113888"
,"4617","6156","4617","25497","114488","114909"
,"4625","6164","4625","25725","114654","114914"
,"4641","6188","4641","25956","115513","115935"
,"4657","6204","4657","26163","115674","115940"
,"4689","6252","4689","26413","116517","116961"
,"4705","6268","4705","26638","116686","116966"
,"4737","6316","4737","26889","117544","117987"
,"4769","6348","4769","27111","117713","117992"
,"4833","6444","4833","27342","118556","119013"
,"4849","6460","4849","27593","118733","119018"
,"4881","6508","4881","27811","119579","120039"
,"4913","6540","4913","28038","119744","120044"
,"4977","6636","4977","28285","120599","121065"
,"5009","6668","5009","28533","120778","121070"
,"5073","6764","5073","28760","121619","122091"
,"5137","6828","5137","28998","121791","122096"
,"5265","7020","5265","29236","122646","123117"
,"5281","7036","5281","29483","122824","123122"
,"5313","7084","5313","29722","123671","124143"
,"5345","7116","5345","29951","123862","124148"
,"5409","7212","5409","30209","124704","125169"
,"5441","7244","5441","30449","124869","125174"
,"5505","7340","5505","30690","125725","126195"
,"5569","7404","5569","30945","125904","126200"
,"5697","7596","5697","31194","126731","127221"
,"5729","7628","5729","31444","126926","127226"
,"5793","7724","5793","31692","127760","128247"
,"5857","7788","5857","31931","127945","128252"
,"5985","7980","5985","32196","128792","129273"
,"6049","8044","6049","32437","128973","129278"
,"6177","8236","6177","32686","129811","130299"
,"6305","8364","6305","32938","130003","130304"
,"6561","8748","6561","33207","130839","131325"
,"6563","8750","6563","33460","131028","131330"
,"6567","8756","6567","33710","131866","132351"
,"6571","8760","6571","33949","132067","132356"
,"6579","8772","6579","34225","132881","133377"
,"6583","8776","6583","34468","133093","133382"
,"6591","8788","6591","34739","133930","134403"
,"6599","8796","6599","34993","134119","134408"
,"6615","8820","6615","35265","134949","135429"
,"6619","8824","6619","35527","135145","135434"
,"6627","8836","6627","35790","135960","136455"
,"6635","8844","6635","36044","136172","136460"
,"6651","8868","6651","36344","136978","137481"
,"6659","8876","6659","36610","137183","137486"
,"6675","8900","6675","36882","138003","138507"
,"6691","8916","6691","37148","138207","138512"
,"6723","8964","6723","37428","139044","139533"
,"6727","8968","6727","37716","139239","139538"
,"6735","8980","6735","37981","140056","140559"
,"6743","8988","6743","38259","140270","140564"
,"6759","9012","6759","38566","141072","141585"
,"6767","9020","6767","38814","141274","141590"
,"6783","9044","6783","39102","142092","142611"
,"6799","9060","6799","39369","142306","142616"
,"6831","9108","6831","39673","143109","143637"
,"6839","9116","6839","39952","143322","143642"
,"6855","9140","6855","40232","144144","144663"
,"6871","9156","6871","40509","144334","144668"
,"6903","9204","6903","40803","145150","145689"
,"6919","9220","6919","41090","145372","145694"
,"6951","9268","6951","41380","146180","146715"
,"6983","9300","6983","41666","146392","146720"
,"7047","9396","7047","41963","147199","147741"
,"7051","9400","7051","42256","147417","147746"
,"7059","9412","7059","42537","148210","148767"
,"7067","9420","7067","42810","148432","148772"
,"7083","9444","7083","43117","149232","149793"
