"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:29:59:199 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","OII","density","OOI","IOO","background","rule","III","OIO","IOI","OOO","auto-continue?","foreground","IIO","[step]","count patches with [pcolor = green]"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","46","492"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","47","24612"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","42","317"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","34","253"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","46","1188"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","48","24626"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","48","24650"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","47","540"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","43","333"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","35","261"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","47","1239"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","49","25647"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","49","25637"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","48","544"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","44","341"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","48","1283"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","50","25652"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","50","25680"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","36","265"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","45","357"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","49","556"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","49","1336"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","51","26673"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","51","26661"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","37","273"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","46","373"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","50","564"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","50","1379"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","52","26678"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","52","26700"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","51","588"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","38","281"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","51","1438"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","47","405"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","53","27699"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","53","27683"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","52","596"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","39","297"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","52","1490"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","54","27704"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","48","409"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","54","27726"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","53","620"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","55","28725"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","53","1550"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","40","301"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","49","417"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","55","28705"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","54","636"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","56","28730"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","54","1599"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","56","28749"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","50","425"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","41","309"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","57","29751"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","55","684"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","55","1664"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","51","441"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","57","29733"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","58","29756"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","56","692"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","42","317"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","56","1721"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","58","29784"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","52","449"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","59","30777"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","57","716"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","43","333"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","57","1781"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","59","30757"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","53","465"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","60","30782"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","58","732"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","58","1837"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","60","30805"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","44","341"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","54","481"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","61","31803"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","59","780"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","59","1906"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","61","31786"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","55","513"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","45","357"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","62","31808"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","60","1967"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","60","796"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","62","31826"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","56","521"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","61","2037"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","63","32829"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","61","844"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","46","373"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","63","32803"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","57","537"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","62","2096"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","64","32834"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","62","876"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","64","32844"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","47","405"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","63","2174"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","58","553"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","65","33855"
